Article Title,Source Title,"Times Cited, All Databases",Publication Year
Multiple Infection and Human Immunodeficiency Virus Superinfection Among Persons who Inject Drugs in Indonesia and Ukraine,JOURNAL OF INFECTIOUS DISEASES,0,2022
Genetic Characterization of Puccinia striiformis f. sp. tritici Populations from Different Wheat Cultivars Using Simple Sequence Repeats,JOURNAL OF FUNGI,1,2022
Genome-Wide Identification and Transcriptional Expression Profiles of PP2C in the Barley (Hordeum vulgare L.) Pan-Genome,GENES,4,2022
Comparative Analyses of the Microbial Communities Inhabiting Coal Mining Waste Dump and an Adjacent Acid Mine Drainage Creek,MICROBIAL ECOLOGY,33,2019
Stepwise loss of motilin and its specific receptor genes in rodents,JOURNAL OF MOLECULAR ENDOCRINOLOGY,79,2010
Gonadal transcriptome analysis of sex-biased gene and genome-wide investigation of dmrt gene family in Acanthogobius ommaturus,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,0,2024
Genome- and transcriptome-wide identification of trehalose-6-phosphate phosphatases (TPP) gene family and their expression patterns under abiotic stress and exogenous trehalose in soybean,BMC PLANT BIOLOGY,1,2023
"An insight into Pisum sativum HSF gene family-Genome-wide identification, phylogenetic, expression, and analysis of transactivation potential of pea heat shock transcription factor",PLANT PHYSIOLOGY AND BIOCHEMISTRY,1,2023
Genome-Scale Analysis of the Grapevine KCS Genes Reveals Its Potential Role in Male Sterility,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,1,2023
Biogeography of soil protistan consumer and parasite is contrasting and linked to microbial nutrient mineralization in forest soils at a wide-scale,SOIL BIOLOGY & BIOCHEMISTRY,10,2022
Phylogenetic relationships investigation ofMycobacterium capraestrains from sympatric wild boar and goats based on whole genome sequencing,TRANSBOUNDARY AND EMERGING DISEASES,9,2021
Prevalence and Population Genetics Analysis of Enterocytozoon bieneusi in Dairy Cattle in China,FRONTIERS IN MICROBIOLOGY,26,2019
The B-A-E index - a microbiological-ecological concept for the assessment and monitoring of groundwater,HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,1,2018
Global impacts of chromosomal imbalance on gene expression in Arabidopsis and other taxa,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,46,2018
Metavir 2: new tools for viral metagenome comparison and assembled virome analysis,BMC BIOINFORMATICS,192,2014
Molecular analysis of green-tide-forming macroalgae in the Yellow Sea,AQUATIC BOTANY,75,2010
Biodiversity priority areas and conservation strategies for seed plants in China,FRONTIERS IN PLANT SCIENCE,2,2022
Mitochondrial Genetic Diversity and Structure of the Langur Population in a Complex Landscape of the Nepal Himalaya,DIVERSITY-BASEL,0,2022
Evolutionary Diversity in the Intracellular Microsporidian Parasite Nosema sp. Infecting Wild Silkworm Revealed by IGS Nucleotide Sequence Diversity,JOURNAL OF MOLECULAR EVOLUTION,4,2020
Reticulate evolution of the Daphnia pulex complex as revealed by nuclear markers,MOLECULAR ECOLOGY,62,2011
"Ancient mitochondrial DNA reveals the origin of Sus scrofa from Rebun Island, Japan",JOURNAL OF MOLECULAR EVOLUTION,66,2001
Lineage Divergence of Dendrolimus punctatus in Southern China Based on Mitochondrial Genome,FRONTIERS IN GENETICS,4,2020
Cyto- and Myelo-Architecture of the Amygdaloid Complex of the Common Marmoset Monkey (Callithrix jacchus),FRONTIERS IN NEUROANATOMY,5,2019
Genome-Wide Characterization of the sHsp Gene Family in Salix suchowensis Reveals Its Functions under Different Abiotic Stresses,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,20,2018
"Molecular and epidemiological study of human parechovirus infections in Taiwan, 2007-2012",JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,15,2016
Interconnections of Reactive Oxygen Species Homeostasis and Circadian Rhythm in Neurospora crassa,ANTIOXIDANTS & REDOX SIGNALING,29,2014
Strategies for enhancing fermentative production of acetoin: A review,BIOTECHNOLOGY ADVANCES,198,2014
"Complexity, connectivity, and duplicability as barriers to lateral gene transfer",GENOME BIOLOGY,68,2007
"Genomic epidemiology of dengue in Shantou, China, 2019",FRONTIERS IN PUBLIC HEALTH,0,2023
"R2R3-MYBs in Durum Wheat: Genome-Wide Identification, Poaceae-Specific Clusters, Expression, and Regulatory Dynamics Under Abiotic Stresses",FRONTIERS IN PLANT SCIENCE,8,2022
Distribution of Culicoides biting midges (Diptera: Ceratopogonidae) in southern Australia and insight into the Culicoides victoriae morpho-variants,AUSTRAL ENTOMOLOGY,0,2021
"Basic leucine zipper (bZIP) transcription factor genes and their responses to drought stress in ginseng, Panax ginseng CA Meyer",BMC GENOMICS,14,2021
Long-term restoration altered edaphic properties and soil microbial communities in forests: evidence from four plantations of southern China,RESTORATION ECOLOGY,10,2021
A novel Fibonacci hash method for protein family identification by using recurrent neural networks,TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES,8,2021
Lack of intraspecific variations of the mitochondrial cytochrome b gene in the greater mouse-tailed bat Rhinopoma microphyllum (Chiroptera: Rhinopomatidae) in Iran,GENETICA,1,2021
Full-length transcriptome sequencing provides insights into the evolution of apocarotenoid biosynthesis in Crocus sativus,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,24,2020
Most HIV Type 1 Non-B Infections in the Spanish Cohort of Antiretroviral Treatment-Naive HIV-Infected Patients (CoRIS) Are Due to Recombinant Viruses,JOURNAL OF CLINICAL MICROBIOLOGY,38,2012
Invasion genetics of the Ciona intestinalis species complex: from regional endemism to global homogeneity,MOLECULAR ECOLOGY,142,2010
Phylogeography of the Bothrops jararaca complex (Serpentes: Viperidae):: past fragmentation and island colonization in the Brazilian Atlantic Forest,MOLECULAR ECOLOGY,194,2006
"A chloroplast genealogy of Hordeum (Poaceae):: Long-term persisting haplotypes, incomplete lineage sorting, regional extinction, and the consequences for phylogenetic inference",MOLECULAR BIOLOGY AND EVOLUTION,202,2006
Molecular cloning of two toxic phospholipases A2 from the crown-of-thorns starfish Acanthaster planci venom,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,18,2006
hnRNP A1 controls HIV-1 mRNA splicing through cooperative binding to intron and exon splicing silencers in the context of a conserved secondary structure,RNA,114,2002
The long non-coding RNA LINDA restrains cellular collapse following DNA damage in Arabidopsis thaliana,PLANT JOURNAL,2,2023
Risk Assessment of the Possible Intermediate Host Role of Pigs for Coronaviruses with a Deep Learning Predictor,VIRUSES-BASEL,2,2023
Comprehensive Genomic Characterization of the NAC Transcription Factors and Their Response to Drought Stress in Dendrobium catenatum,AGRONOMY-BASEL,7,2022
Genetic population structure and demographic history of the endemic fish Paralichthys olivaceus of the Northwest Pacific Ocean,ECOLOGY AND EVOLUTION,0,2022
Messinian bottom-grown selenitic gypsum: An archive of microbial life,GEOBIOLOGY,9,2022
Comparative and phylogenetic analyses of the chloroplast genomes of species of Paeoniaceae,SCIENTIFIC REPORTS,20,2021
"Genetic variation and demographic history analysis of Pestalotiopsis, Pseudopestalotiopsis, and Neopestalotiopsis fungi associated with tea (Camellia sinensis) inferred from the internal transcribed spacer region of the nuclear ribosomal DNA",PLANT PATHOLOGY,4,2021
"A genome-wide survey and analysis of basic helix-loop-helix genes in the Asian citrus psyllid, Diaphorina citri (Hemiptera: Psyllidae)",JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,3,2017
"Absence of population genetic structure in Heterakis gallinarum of chicken from Sichuan, inferred from mitochondrial cytochrome c oxidase subunit I gene",MITOCHONDRIAL DNA PART A,9,2016
High-quality sequence clustering guided by network topology and multiple alignment likelihood,BIOINFORMATICS,27,2012
Mitochondrial DNA analysis provides new insights into the origin of the Chinese domestic goat,SMALL RUMINANT RESEARCH,16,2010
"Signatures of vicariance, postglacial dispersal and spawning philopatry: population genetics of the walleye Sander vitreus",MOLECULAR ECOLOGY,89,2009
Genome-wide discovery of functional transcription factor binding sites by comparative genomics: The case of Stat3,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,69,2009
Merging of Phonological and Gestural Circuits in Early Language Evolution,REVIEWS IN THE NEUROSCIENCES,19,2009
Analysis of co-occurring and mutually exclusive amino acid changes and detection of convergent and divergent evolution events in SARS-CoV-2,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,2,2022
The protein 14-3-3: A functionally versatile molecule in Giardia duodenalis,"GIARDIA AND GIARDIASIS, PT A",6,2019
Genetic isolation in an endemic African habitat specialist,IBIS,4,2017
Molecular and epidemiological study of enterovirus D68 in Taiwan,JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,30,2017
"Whole genome sequencing and analysis reveal insights into the genetic structure, diversity and evolutionary relatedness of luxl and luxR hornologs in bacteria belonging to the Sphingomonadaceae family",FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,22,2015
"Molecular phylogeny of the genus Luzula DC. (Juncaceae, Monocotyledones) based on plastome and nuclear ribosomal regions: A case of incongruence, incomplete lineage sorting and hybridisation",MOLECULAR PHYLOGENETICS AND EVOLUTION,28,2010
Importance of cryptic species for identifying 'representative' units of biodiversity for freshwater conservation,BIOLOGICAL CONSERVATION,52,2008
Novel target genes of the yeast regulator Pdr1p:: a contribution of the TPO1 gene in resistance to quinidine and other drugs,GENE,52,2001
Diversity of immune systems,ITALIAN JOURNAL OF ZOOLOGY,0,1996
A bamboo bHLH transcription factor PeRHL4 has dual functions in enhancing drought and phosphorus starvation tolerance,PLANT CELL AND ENVIRONMENT,0,2024
The MabHLH11 transcription factor interacting with MaMYB4 acts additively in increasing plant scopolin biosynthesis,CROP JOURNAL,2,2023
Unraveling Reticulate Evolution in Opuntia (Cactaceae) From Southern Mexico,FRONTIERS IN PLANT SCIENCE,14,2021
Endochondral bone in an Early Devonian 'placoderm' from Mongolia,NATURE ECOLOGY & EVOLUTION,35,2020
Prevalence and genetic divergence of Leptospira interrogans and Leptospira borgpetersenii in house rats (Rattus rattus) from Peninsular Malaysia,ASIAN PACIFIC JOURNAL OF TROPICAL MEDICINE,6,2019
In silico genome-wide identification and comprehensive characterization of the BES1 gene family in soybean,HELIYON,10,2019
The symbiotic life of Symbiodinium in the open ocean within a new species of calcifying ciliate (Tiarina sp.),ISME JOURNAL,28,2016
Osmunda pulchella sp nov from the Jurassic of Sweden-reconciling molecular and fossil evidence in the phylogeny of modern royal ferns (Osmundaceae),BMC EVOLUTIONARY BIOLOGY,29,2015
"Ancient mitochondrial DNA sequences of Jomon teeth samples from Sanganji, Tohoku district, Japan",ANTHROPOLOGICAL SCIENCE,23,2013
Pre- and post-glacial diversifications shape genetic complexity of soil-living microarthropod species,PEDOBIOLOGIA,19,2013
"Crystal structure of WbpP, a genuine UDP-N-acetylglucosamine 4-epimerase from Pseudomonas aeruginosa -: Substrate specificity in UDP-hexose 4-epimerases",JOURNAL OF BIOLOGICAL CHEMISTRY,89,2004
"Genome-Wide Identification, Expression Profiling and Protein-Protein Interaction Properties of the BEL-Like Homeodomain Gene Family in Apple",PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,4,2022
Uncovering two phases of early intercontinental COVID-19 transmission dynamics,JOURNAL OF TRAVEL MEDICINE,27,2020
"Genotypic study of Citrobacter koseri, an emergent platelet contaminant since 2012 in France",TRANSFUSION,1,2020
OSF-Builder: A New Tool for Constructing and Representing Evolutionary Histories Involving Introgression,SYSTEMATIC BIOLOGY,2,2019
Segmental and Tandem Duplications Driving the Recent NBS-LRR Gene Expansion in the Asparagus Genome,GENES,9,2018
"Insights into the ecology, evolution, and metabolism of the widespread Woesearchaeotal lineages",MICROBIOME,179,2018
Phylogenetic relationships and population structure of Ralstonia solanacearum isolated from diverse origins in Taiwan,PLANT PATHOLOGY,31,2014
Phylogeny of Toll-Like Receptor Signaling: Adapting the Innate Response,PLOS ONE,28,2013
Occurrence and characterization of psychrotolerant hydrocarbon-oxidizing bacteria from surface seawater along the Victoria Land coast (Antarctica),POLAR BIOLOGY,39,2010
Molecular evolution of a plastid tandem repeat locus in an orchid lineage,JOURNAL OF MOLECULAR EVOLUTION,27,2003
Evolutionary dynamics of the LTR-retrotransposon crapaud in the Podospora anserina species complex and the interaction with repeat-induced point mutations,MOBILE DNA,0,2024
Phylogenomic analyses using a new 1013-gene Vitaceae bait-set support major groups of North American Vitis,MOLECULAR PHYLOGENETICS AND EVOLUTION,0,2023
"Using genomics, morphometrics, and environmental niche modeling to test the validity of a narrow-range endemic snail, Patera nantahala (Gastropoda, Polygyridae)",ZOOKEYS,1,2023
"Genome-Wide Identification of MAPK, MAPKK, and MAPKKK Gene Families in Fagopyrum tataricum and Analysis of Their Expression Patterns Under Abiotic Stress",FRONTIERS IN GENETICS,4,2022
Investigating molecular evolutionary forces and phylogenetic relationships among melatonin precursor-encoding genes of different plant species,MOLECULAR BIOLOGY REPORTS,1,2020
Pseudomonas aeruginosa and microbial keratitis,JOURNAL OF MEDICAL MICROBIOLOGY,96,2020
Circadian Clock Gene of Grass Carp (Ctenopharyngodon idellus): Genomic Structure and Tissue Expression Pattern of Period1 Gene,CURRENT BIOINFORMATICS,1,2017
Fractal Hypothesis of the Pelagic Microbial Ecosystem Can Simple Ecological Principles Lead to Self-Similar Complexity in the Pelagic Microbial Food Web?,FRONTIERS IN MICROBIOLOGY,8,2015
Mitochondrial evidence for genetic diversity and low phylogeographic differentiation in the Marsh Warbler Acrocephalus palustris (Aves: Acrocephalidae),ORGANISMS DIVERSITY & EVOLUTION,6,2014
"Origin and evolution of the Italian subterranean termite Reticulitermes lucifugus (Blattodea, Termitoidae, Rhinotermitidae)",BULLETIN OF ENTOMOLOGICAL RESEARCH,10,2013
Evolutionary analyses of non-family genes in plants,PLANT JOURNAL,9,2013
"Reduced MHC and neutral variation in the Galapagos hawk, an island endemic",BMC EVOLUTIONARY BIOLOGY,34,2011
"Based on the Results of PEDV Phylogenetic Analysis of the Most Recent Isolates in China, the Occurrence of Further Mutations in the Antigenic Site S1° and COE of the S Protein Which Is the Target Protein of the Vaccine",TRANSBOUNDARY AND EMERGING DISEASES,1,2023
"Pollinator and host sharing lead to hybridization and introgression in Panamanian free-standing figs, but not in their pollinator wasps",ECOLOGY AND EVOLUTION,4,2023
Viral diversity and biogeochemical potential revealed in different prawn-culture sediments by virus-enriched metagenome analysis,ENVIRONMENTAL RESEARCH,10,2022
Molecular characterization of the COPT/Ctr-type copper transporter family under heavy metal stress in alfalfa,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,13,2021
Population genetic studies in wild olive (Olea cuspidata) by molecular barcodes and SRAP molecular markers,CARYOLOGIA,1,2020
Uncovering microbial inter-domain interactions in complex communities,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,3,2019
Signatures of soft sweeps across the Dt1 locus underlying determinate growth habit in soya bean [Glycine max (L.) Merr.],MOLECULAR ECOLOGY,8,2017
"Tracking microRNAs with a potential for virulence regulation in the pea aphid, Acyrthosiphon pisum Harris (Hemiptera: Aphidae), and the Asian citrus psyllid, Diaphorina citri Kuwayama (Hemiptera: Psyllidae)",AFRICAN ENTOMOLOGY,3,2015
Mitochondrial haplotype diversity in the tortoise species Testudo graeca from North Africa and the Middle East -: art. no. 29,BMC EVOLUTIONARY BIOLOGY,30,2005
"Identification, characterization, and comprehensive expression profiling of floral master regulators in pigeon pea (Cajanus cajan [L.] Millspaugh)",FUNCTIONAL & INTEGRATIVE GENOMICS,1,2023
"Genetic structure, population diversity and ancestry of Nicobari fowl based on mtDNA complete D-loop sequences",JOURNAL OF GENETICS,1,2022
Systematic analysis of the Capsicum ERF transcription factor family: identification of regulatory factors involved in the regulation of species-specific metabolites,BMC GENOMICS,25,2020
DARTR: An R package to facilitate analysis of SNP data generated from reduced representation genome sequencing,MOLECULAR ECOLOGY RESOURCES,468,2018
Structure and function of an ancestral-type β-decarboxylating dehydrogenase from Thermococcus kodakarensis,BIOCHEMICAL JOURNAL,5,2017
The expansion of heterochromatin blocks in rye reflects the co-amplification of tandem repeats and adjacent transposable elements,BMC GENOMICS,29,2016
Indoor-Air Microbiome in an Urban Subway Network: Diversity and Dynamics,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,139,2014
"The phenylalanine ammonia-lyase gene family in Salvia miltiorrhiza: genome-wide characterization, molecular cloning and expression analysis",MOLECULAR BIOLOGY REPORTS,67,2013
"Effects of historical climate change, habitat connectivity, and vicariance on genetic structure and diversity across the range of the red tree vole (Phenacomys longicaudus) in the Pacific Northwestern United States",MOLECULAR ECOLOGY,110,2006
COMPARATIVE-STUDY OF THE ARTERIAL AND LACUNARY SYSTEMS OF THE VENTRICULAR MYOCARDIUM OF ELASMOBRANCH AND TELEOST FISHES,AMERICAN JOURNAL OF ANATOMY,117,1983
"High diversity, novel genotypes, and vertical transmission of hemotropic Mycoplasma in micromammals",COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,0,2024
Identification and Expression Analysis of the Isopentenyl Transferase (IPT) Gene Family under Lack of Nitrogen Stress in Oilseed (Brassica napus L.),PLANTS-BASEL,1,2023
Identification of GOLDEN2-like transcription factor genes in soybeans and their role in regulating plant development and metal ion stresses,FRONTIERS IN PLANT SCIENCE,1,2022
Genome-wide analysis of the VQ motif-containing gene family and expression profiles during phytohormones and abiotic stresses in wheat (Triticum aestivum L.),BMC GENOMICS,16,2022
Two New Strains of Wolbachia Affecting Natural Avocado Thrips,INDIAN JOURNAL OF MICROBIOLOGY,1,2021
Structural insights into the potential changes in receptor binding site found in the 1998-2018 influenza B/Yamagata hemagglutinin: A putative correlation between receptor binding site structural variability and seasonal infection,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0,2020
Patterns of phylogenetic incongruence in Medicago found among six loci,PLANT SYSTEMATICS AND EVOLUTION,14,2016
"Phylogenetic relationships and species delimitation among the taxa with propagula in Pseudotaxiphyllum (Plagiotheciaceae, Bryophyta)",JOURNAL OF SYSTEMATICS AND EVOLUTION,6,2015
"An expanded description, natural history, and genetic variation of the recently described cobra species Naja fuxi Shi et al., 2022",VERTEBRATE ZOOLOGY,6,2023
Delphinieae flowers originated from the rewiring of interactions between duplicated and diversified floral organ identity and symmetry genes,PLANT CELL,4,2023
Population Genetic Analysis of Sillago nigrofasciata (Perciformes: Sillaginidae) Along the Coast of China by Sequencing Mitochondrial DNA Control Region,JOURNAL OF OCEAN UNIVERSITY OF CHINA,0,2020
Molecular analyses identify hybridization-mediated nuclear evolution in newly discovered fungal hybrids,ECOLOGY AND EVOLUTION,8,2019
Phylogeographic patterns in the Philippine archipelago influence symbiont diversity in the bobtail squid-Vibrio mutualism,ECOLOGY AND EVOLUTION,8,2018
A coupled phylogeographical and species distribution modelling approach recovers the demographical history of a Neotropical seasonally dry forest tree species,MOLECULAR ECOLOGY,98,2012
Phylogenetic relationships of wild and cultivated species of Allium section Cepa inferred by nuclear rDNA ITS sequence analysis,PLANT SYSTEMATICS AND EVOLUTION,64,2007
A general strategy to determine the congruence between a hierarchical and a non-hierarchical classification,BMC BIOINFORMATICS,9,2007
Molecular phylogenetics and the evolution of Antarctic Notothenioid fishes,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,57,1997
Unsupervised biological integrity assessment by eDNA biomonitoring of multi-trophic aquatic taxa,ENVIRONMENT INTERNATIONAL,3,2023
The Origin and Evolution of RNase T2 Family and Gametophytic Self-incompatibility System in Plants,GENOME BIOLOGY AND EVOLUTION,6,2022
"Molecular characteristics and genetic diversity of Fasciola hepatica from sheep in Xinjiang, China",JOURNAL OF VETERINARY RESEARCH,3,2022
A New Species of Bridled Darter Endemic to the Etowah River System in Georgia (Percidae: Etheostomatinae: Percina),BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,8,2021
"High phylogeographic and genetic diversity ofTidestromia lanuginosasupports full-glacial refugia for arid-adapted plants in southern and central Coahuila, Mexico",AMERICAN JOURNAL OF BOTANY,2,2020
Gap Junction Coding Innexin in Lymnaea stagnalis: Sequence Analysis and Characterization in Tissues and the Central Nervous System,FRONTIERS IN SYNAPTIC NEUROSCIENCE,6,2020
The split decomposition of a k-dissimilarity map,ADVANCES IN APPLIED MATHEMATICS,1,2012
Genetic analysis of the peatmoss Sphagnum cribrosum (Sphagnaceae) indicates independent origins of an extreme infra-specific morphology shift,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,12,2012
Divergence and recombination of clinical herpes simplex virus type 2 isolates,JOURNAL OF VIROLOGY,71,2007
AnaBench: a Web/CORBA-based workbench for biomolecular sequence analysis,BMC BIOINFORMATICS,22,2003
Genomic study of PIFs in cotton and functional analysis of GhPIF4 in promoting cotton flowering,PLANT GROWTH REGULATION,0,2024
Homogenization of reservoir eukaryotic algal and cyanobacterial communities is accelerated by dam construction and eutrophication,JOURNAL OF HYDROLOGY,7,2021
Genome-wide identification and characterization of cucumber bHLH family genes and the functional characterization of CsbHLH041 in NaCl and ABA tolerance in Arabidopsis and cucumber,BMC PLANT BIOLOGY,66,2020
"Morphological and molecular evidence supports the first occurrence of two fishes,Siganus sutor(Valenciennes, 1835) andSeriolina nigrofasciata(Ruppell, 1829) (Actinopterygii: Perciformes), from marine waters of Odisha coast, Bay of Bengal, India",ACTA OCEANOLOGICA SINICA,2,2020
"Understanding genetic diversity and population genetic structure of three Cyprinidae fishes occupying the same habitat from Uttarakhand, India",MITOCHONDRIAL DNA PART B-RESOURCES,2,2019
"Identification, characterization, and expression analysis of auxin response factor (ARF) gene family in Brachypodium distachyon",FUNCTIONAL & INTEGRATIVE GENOMICS,8,2018
"High genetic diversity but low population structure in the frog Pseudopaludicola falcipes (Hensel, 1867) (Amphibia, Anura) from the Pampas of South America",MOLECULAR PHYLOGENETICS AND EVOLUTION,25,2016
Generation and Analysis of a Mouse Intestinal Metatranscriptome through Illumina Based RNA-Sequencing,PLOS ONE,55,2012
Cytoplasmic-Nuclear Genomic Barriers in Rice Pollen Development Revealed by Comparison of Global Gene Expression Profiles among Five Independent Cytoplasmic Male Sterile Lines,PLANT AND CELL PHYSIOLOGY,36,2010
Meningitis outbreak caused by Echovirus serotype 30 in the Valencian Community,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,8,2009
Neurodevelopmental aspects of spatial navigation: A virtual reality fMRI study,NEUROIMAGE,100,2002
First ultrastructural description of an apomictic opsiblastic egg in freshwater Gastrotricha,JOURNAL OF MORPHOLOGY,1,2024
"Analysis of Genetic Diversity of cytb gene from Babesia gibsoni Isolates from Naturally Infected Dogs in Karnataka, India",ACTA PARASITOLOGICA,0,2024
"Circulating trends of hand, foot, and mouth disease in Hubei Province, China: Impact from the COVID-19 pandemic",HELIYON,0,2023
Identification of passion fruit HSF gene family and the functional analysis of PeHSF-C1a in response to heat and osmotic stress,PLANT PHYSIOLOGY AND BIOCHEMISTRY,5,2023
"Genetic diversity, gene flow and hybridization in fan-shaped sponges (Phakellia spp.) in the North-East Atlantic deep sea",DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,6,2022
Genome-wide identification and characterization of caffeoyl-coenzyme A O-methyltransferase genes related to the Fusarium head blight response in wheat,BMC GENOMICS,13,2021
A journey on plate tectonics sheds light on European crayfish phylogeography,ECOLOGY AND EVOLUTION,23,2019
Comparative analyses of phytochelatin synthase (PCS) genes in higher plants,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,27,2019
A decade of genomic history for healthcare-associated Enterococcus faecium in the United Kingdom and Ireland,GENOME RESEARCH,77,2016
A Unique Pattern of HCV Genotype Distribution on Hainan Island in China Revealed by Evolutionary Analysis,CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,16,2016
Definition of Plant-Pathogenic Pseudomonas Genomospecies of the Pseudomonas syringae Complex Through Multiple Comparative Approaches,PHYTOPATHOLOGY,35,2014
"DISCORDANT GENETIC DIVERSITY AND GEOGRAPHIC PATTERNS BETWEEN CRASSICUTIS CICHLASOMAE (DIGENEA: APOCREADIIDAE) AND ITS CICHLID HOST, CICHLASOMA UROPHTHALMUS (OSTEICHTHYES: CICHLIDAE), IN MIDDLE-AMERICA",JOURNAL OF PARASITOLOGY,11,2013
Genome-wide identification and transcription analysis of soybean carotenoid oxygenase genes during abiotic stress treatments,MOLECULAR BIOLOGY REPORTS,30,2013
"Genetic structure and divergence in populations of Lutzomyia cruciata, a phlebotomine sand fly (Diptera: Psychodidae) vector of Leishmania mexicana in southeastern Mexico",INFECTION GENETICS AND EVOLUTION,35,2013
Tissue-Specific Expression Patterns of Arabidopsis NF-Y Transcription Factors Suggest Potential for Extensive Combinatorial Complexity,PLANT PHYSIOLOGY,266,2009
Three ambitious (and rather unorthodox) assignments for the field of biodiversity genetics,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,25,2008
ReXSpecies -: a tool for the analysis of the evolution of gene regulation across species,BMC EVOLUTIONARY BIOLOGY,6,2008
Origin and evolution of two Yugur sub-clans in Northwest China: a case study in paternal genetic landscape,ANNALS OF HUMAN BIOLOGY,14,2008
Mitochondrial polymorphisms and susceptibility to type 2 diabetes-related traits in Finns,HUMAN GENETICS,68,2005
Phylogenetic implications of the superfast myosin in extraocular muscles,JOURNAL OF EXPERIMENTAL BIOLOGY,27,2002
Genetic Diversity and Maternal Phylogenetic Relationships among Populations and Strains of Arabian Show Horses,ANIMALS,0,2023
Key Residue in the Precursor Region of M Protein Contributes to the Neurovirulence and Neuroinvasiveness of the African Lineage of Zika Virus,JOURNAL OF VIROLOGY,1,2023
Differentiation patterns of emperor moths (Lepidoptera: Saturniidae: Saturniinae) of a continental island: divergent evolutionary history driven by Pleistocene glaciations,PEERJ,1,2022
Genome-wide analysis of AP2/ERF superfamily in Isatis indigotica,JOURNAL OF INTEGRATIVE MEDICINE-JIM,4,2023
Genomic Update of Phenotypic Prediction Rule for Methicillin-Resistant Staphylococcus aureus (MRSA) USA300 Discloses Jail Transmission Networks with Increased Resistance,MICROBIOLOGY SPECTRUM,6,2021
"pol gene diversity of five human immunodeficiency virus type 1 subtypes: Evidence for naturally occurring mutations that contribute to drug resistance, limited recombination patterns, and common ancestry for subtypes B and D",JOURNAL OF VIROLOGY,159,1997
Genome-Wide Identification and Function of Aquaporin Genes During Dormancy and Sprouting Periods of Kernel-Using Apricot (Prunus armeniaca L.),FRONTIERS IN PLANT SCIENCE,8,2021
Altered intestinal microbiota composition with epilepsy and concomitant diarrhea and potential indicator biomarkers in infants,FRONTIERS IN MICROBIOLOGY,2,2023
Complete genome reconstruction of the global and European regional dispersal history of the lumpy skin disease virus,JOURNAL OF VIROLOGY,1,2023
"Mitochondrial marker implies fishery separate management units for spotted sardinella, Amblygaster sirm (Walbaum, 1792) populations in the South China Sea and the Andaman Sea",PEERJ,3,2022
Molecular Systematics of Valerianella Mill. (Caprifoliaceae): Challenging the Taxonomic Value of Genetically Controlled Carpological Traits,PLANTS-BASEL,1,2022
Distinct metabolic strategies of the dominant heterotrophic bacterial groups associated with marine Synechococcus,SCIENCE OF THE TOTAL ENVIRONMENT,10,2021
Contrasting phylogeographic patterns and demographic history in closely related species of Daphnia longispina group (Crustacea: Cladocera) with focus on North-Eastern Eurasia,PLOS ONE,16,2018
Modifications to a common phosphorylation network provide individualized control in caspases,JOURNAL OF BIOLOGICAL CHEMISTRY,22,2018
Genetic consequences of postglacial colonization by the endemic Yarkand hare (Lepus yarkandensis) of the arid Tarim Basin,CHINESE SCIENCE BULLETIN,20,2011
Genetic structure and Rickettsia infection rates in Ixodes ovatus and Haemaphysalis flava ticks across different altitudes,PLOS ONE,0,2024
